Strategy,Name,Outcome
 2,Player,Player
 2,Player,Tie
 2,Player,Dealer
 2,Player,Player
 2,Player,Both Bust
 2,Player,Dealer
 2,Player,Dealer
 2,Player,Dealer
 2,Player,Player
 2,Player,Both Bust
 2,Player,Dealer
 2,Player,Player
 2,Player,Tie
 2,Player,Dealer
 2,Player,Dealer
 2,Player,Player
 2,Player,Dealer
 2,Player,Dealer
 2,Player,Tie
 2,Player,Dealer
 2,Player,Player
 2,Player,Dealer
 2,Player,Player
 2,Player,Dealer
 2,Player,Both Bust
 2,Player,Player
 2,Player,Player
 2,Player,Tie
 2,Player,Dealer
 2,Player,Dealer
 2,Player,Player
 2,Player,Player
 2,Player,Dealer
 2,Player,Player
 2,Player,Player
 2,Player,Dealer
 2,Player,Dealer
 2,Player,Dealer
 2,Player,Dealer
 2,Player,Dealer
 2,Player,Player
 2,Player,Dealer
 2,Player,Dealer
 2,Player,Player
 2,Player,Player
 2,Player,Player
 2,Player,Dealer
 2,Player,Tie
 2,Player,Player
 2,Player,Player
 2,Player,Player
 2,Player,Dealer
 2,Player,Tie
 2,Player,Player
 2,Player,Player
 2,Player,Player
 2,Player,Player
 2,Player,Tie
 2,Player,Dealer
 2,Player,Player
 2,Player,Player
 2,Player,Player
 2,Player,Player
 2,Player,Player
 2,Player,Dealer
 2,Player,Dealer
 2,Player,Player
 2,Player,Player
 2,Player,Dealer
 2,Player,Dealer
 2,Player,Player
 2,Player,Dealer
 2,Player,Player
 2,Player,Dealer
 2,Player,Player
 2,Player,Dealer
 2,Player,Player
 2,Player,Player
 2,Player,Dealer
 2,Player,Player
 2,Player,Tie
 2,Player,Player
 2,Player,Dealer
 2,Player,Tie
 2,Player,Tie
 2,Player,Player
 2,Player,Tie
 2,Player,Dealer
 2,Player,Player
 2,Player,Player
 2,Player,Player
 2,Player,Tie
 2,Player,Player
 2,Player,Dealer
 2,Player,Dealer
 2,Player,Player
 2,Player,Player
 2,Player,Player
 2,Player,Player
 2,Player,Tie
 2,Player,Dealer
 2,Player,Player
 2,Player,Both Bust
 2,Player,Dealer
 2,Player,Player
 2,Player,Player
 2,Player,Tie
 2,Player,Player
 2,Player,Tie
 2,Player,Dealer
 2,Player,Both Bust
 2,Player,Both Bust
 2,Player,Dealer
 2,Player,Tie
 2,Player,Dealer
 2,Player,Dealer
 2,Player,Player
 2,Player,Dealer
 2,Player,Player
 2,Player,Dealer
 2,Player,Player
 2,Player,Tie
 2,Player,Dealer
 2,Player,Dealer
 2,Player,Player
 2,Player,Player
 2,Player,Player
 2,Player,Player
 2,Player,Dealer
 2,Player,Player
 2,Player,Dealer
 2,Player,Player
 2,Player,Dealer
 2,Player,Player
 2,Player,Player
 2,Player,Dealer
 2,Player,Dealer
 2,Player,Tie
 2,Player,Player
 2,Player,Player
 2,Player,Dealer
 2,Player,Dealer
 2,Player,Player
 2,Player,Dealer
 2,Player,Dealer
 2,Player,Dealer
 2,Player,Dealer
 2,Player,Tie
 2,Player,Tie
 2,Player,Dealer
 2,Player,Dealer
 2,Player,Dealer
 2,Player,Player
 2,Player,Dealer
 2,Player,Dealer
 2,Player,Player
 2,Player,Dealer
 2,Player,Player
 2,Player,Dealer
 2,Player,Tie
 2,Player,Player
 2,Player,Dealer
 2,Player,Dealer
 2,Player,Player
 2,Player,Player
 2,Player,Player
 2,Player,Player
 2,Player,Player
 2,Player,Player
 2,Player,Dealer
 2,Player,Dealer
 2,Player,Dealer
 2,Player,Tie
 2,Player,Player
 2,Player,Dealer
 2,Player,Player
 2,Player,Player
 2,Player,Dealer
 2,Player,Player
 2,Player,Dealer
 2,Player,Player
 2,Player,Dealer
 2,Player,Dealer
 2,Player,Dealer
 2,Player,Dealer
 2,Player,Player
 2,Player,Dealer
 2,Player,Dealer
 2,Player,Dealer
 2,Player,Player
 2,Player,Tie
 2,Player,Player
 2,Player,Player
 2,Player,Player
 2,Player,Dealer
 2,Player,Player
 2,Player,Player
 2,Player,Player
 2,Player,Player
 2,Player,Both Bust
 2,Player,Player
 2,Player,Player
 2,Player,Tie
 2,Player,Dealer
 2,Player,Dealer
 2,Player,Dealer
 2,Player,Dealer
 2,Player,Dealer
 2,Player,Both Bust
 2,Player,Player
 2,Player,Dealer
 2,Player,Player
 2,Player,Dealer
 2,Player,Dealer
 2,Player,Player
 2,Player,Dealer
 2,Player,Dealer
 2,Player,Dealer
 2,Player,Dealer
 2,Player,Dealer
 2,Player,Player
 2,Player,Dealer
 2,Player,Player
 2,Player,Dealer
 2,Player,Dealer
 2,Player,Player
 2,Player,Player
 2,Player,Dealer
 2,Player,Dealer
 2,Player,Dealer
 2,Player,Tie
 2,Player,Player
 2,Player,Dealer
 2,Player,Dealer
 2,Player,Dealer
 2,Player,Player
 2,Player,Dealer
 2,Player,Player
 2,Player,Player
 2,Player,Player
 2,Player,Dealer
 2,Player,Player
 2,Player,Dealer
 2,Player,Dealer
 2,Player,Player
 2,Player,Dealer
 2,Player,Dealer
 2,Player,Dealer
 2,Player,Player
 2,Player,Player
 2,Player,Player
 2,Player,Dealer
 2,Player,Tie
 2,Player,Player
 2,Player,Dealer
 2,Player,Both Bust
 2,Player,Dealer
 2,Player,Player
 2,Player,Dealer
 2,Player,Player
 2,Player,Player
 2,Player,Dealer
 2,Player,Player
 2,Player,Dealer
 2,Player,Dealer
 2,Player,Dealer
 2,Player,Dealer
 2,Player,Player
 2,Player,Player
 2,Player,Dealer
 2,Player,Player
 2,Player,Dealer
 2,Player,Player
 2,Player,Player
 2,Player,Dealer
 2,Player,Dealer
 2,Player,Player
 2,Player,Dealer
 2,Player,Dealer
 2,Player,Player
 2,Player,Player
 2,Player,Player
 2,Player,Player
 2,Player,Player
 2,Player,Dealer
 2,Player,Player
 2,Player,Player
 2,Player,Dealer
 2,Player,Player
 2,Player,Dealer
 2,Player,Player
 2,Player,Player
 2,Player,Dealer
 2,Player,Player
 2,Player,Both Bust
 2,Player,Dealer
 2,Player,Player
 2,Player,Player
 2,Player,Tie
 2,Player,Dealer
 2,Player,Dealer
 2,Player,Tie
 2,Player,Dealer
 2,Player,Player
 2,Player,Dealer
 2,Player,Dealer
 2,Player,Player
 2,Player,Player
 2,Player,Player
 2,Player,Dealer
 2,Player,Dealer
 2,Player,Player
 2,Player,Player
 2,Player,Dealer
 2,Player,Both Bust
 2,Player,Dealer
 2,Player,Dealer
 2,Player,Dealer
 2,Player,Dealer
 2,Player,Dealer
 2,Player,Dealer
 2,Player,Player
 2,Player,Dealer
 2,Player,Player
 2,Player,Player
 2,Player,Dealer
 2,Player,Dealer
 2,Player,Dealer
 2,Player,Player
 2,Player,Player
 2,Player,Player
 2,Player,Player
 2,Player,Dealer
 2,Player,Dealer
 2,Player,Player
 2,Player,Both Bust
 2,Player,Dealer
 2,Player,Dealer
 2,Player,Dealer
 2,Player,Player
 2,Player,Both Bust
 2,Player,Player
 2,Player,Dealer
 2,Player,Dealer
 2,Player,Player
 2,Player,Player
 2,Player,Dealer
 2,Player,Tie
 2,Player,Dealer
 2,Player,Player
 2,Player,Player
 2,Player,Tie
